Timestamp,Marker_0_X_mm,Marker_0_Y_mm,Marker_1_X_mm,Marker_1_Y_mm,Marker_2_X_mm,Marker_2_Y_mm,Marker_3_X_mm,Marker_3_Y_mm,Marker_4_X_mm,Marker_4_Y_mm,Marker_5_X_mm,Marker_5_Y_mm,Marker_6_X_mm,Marker_6_Y_mm,Marker_7_X_mm,Marker_7_Y_mm
2025-03-11 17:09:19.248123,1199,635,1333,645,,,1045,69,45,35,102,7,,,,
2025-03-11 17:09:19.385015,1192,641,1336,645,,,1043,61,52,42,85,11,,,,
2025-03-11 17:09:19.554947,750,185,1337,645,,,1044,56,66,43,66,15,,,,
2025-03-11 17:09:19.684126,756,164,1326,637,,,1052,50,72,48,68,32,,,,
2025-03-11 17:09:19.799541,770,179,1324,637,,,1057,47,82,44,66,20,,,,
2025-03-11 17:09:19.926490,767,183,1319,643,,,1051,45,79,46,65,17,,,,
2025-03-11 17:09:20.031777,767,191,1303,640,,,1044,51,,,65,16,,,,
2025-03-11 17:09:20.153946,755,182,1298,640,,,1042,47,,,65,7,,,,
2025-03-11 17:09:20.261778,757,199,,,,,1047,42,2,12,92,13,,,,
2025-03-11 17:09:20.361612,762,189,16,10,11,7,1038,47,8,12,112,11,,,,
2025-03-11 17:09:20.507615,571,92,21,12,16,9,1035,43,14,14,108,37,,,,
2025-03-11 17:09:20.646879,572,112,18,18,28,12,1042,45,9,21,107,59,,,,
2025-03-11 17:09:20.774995,575,119,22,23,33,16,1037,43,16,48,109,63,,,,
2025-03-11 17:09:20.936160,403,21,14,35,28,28,1028,43,9,58,101,75,,,,
2025-03-11 17:09:21.092479,395,32,17,28,33,41,1031,36,16,50,90,86,,,,
2025-03-11 17:09:21.251850,49,19,16,36,33,51,1039,35,16,59,91,96,,,,
2025-03-11 17:09:21.409563,359,13,23,28,41,42,1034,33,23,51,101,98,,,,
2025-03-11 17:09:21.553355,352,14,13,28,29,42,1028,35,12,50,93,101,,,,
2025-03-11 17:09:21.710164,1270,28,11,34,28,48,1029,30,14,58,85,99,,,,
2025-03-11 17:09:21.853264,342,14,18,27,33,40,1026,32,30,68,80,100,,,,
2025-03-11 17:09:21.998191,338,17,14,29,29,42,1018,33,24,72,72,104,,,,
2025-03-11 17:09:22.164082,328,20,11,35,28,48,1010,33,10,76,61,106,,,,
2025-03-11 17:09:22.319032,310,11,17,41,33,53,,,23,75,67,116,,,,
2025-03-11 17:09:22.454090,311,9,17,35,32,48,,,29,72,67,135,,,,
2025-03-11 17:09:22.584798,307,28,19,35,34,48,3,0,25,62,60,121,,,,
2025-03-11 17:09:22.737316,296,26,21,34,35,46,,,20,56,,,,,,
2025-03-11 17:09:22.866848,295,24,11,46,26,58,6,0,26,39,0,8,,,,
