run_index,time_ms,x,y,z,tc1,tc2,tc3,tc4,sma_active
10,2025,67.98779148458142,127.60785478644512,0.0,22.02,21.75,21.74,-9999.0,False
10,3276,78.44745171297856,94.48559739652084,0.0,22.02,21.75,21.74,-9999.0,False
10,0,88.55845660042912,60.666029324703416,0.0,22.02,21.75,21.74,-9999.0,True
10,249,88.9071119413757,59.6200633018637,0.0,22.03,21.76,21.74,-9999.0,True
10,499,89.60442262326885,58.57409727902399,0.0,22.03,21.76,21.74,-9999.0,True
10,1249,86.81517989569628,65.895859438902,0.0,22.03,21.76,21.74,-9999.0,True
10,2749,179.90615592843082,87.86114591853598,0.0,22.03,21.75,21.74,-9999.0,False
10,5499,182.6953986560034,88.9071119413757,0.0,22.03,21.75,21.74,-9999.0,False
10,5749,17.084111706381996,150.9677626298654,0.0,22.03,21.75,21.74,-9999.0,False
10,6499,182.34674331505684,89.60442262326885,0.0,22.03,21.76,21.74,-9999.0,False
10,7499,182.6953986560034,89.25576728232227,0.0,22.03,21.76,21.74,-9999.0,False
10,7749,51.94964580103913,114.70760717142198,0.0,22.03,21.76,21.74,-9999.0,False
10,7999,17.084111706381996,150.9677626298654,0.0,22.03,21.76,21.74,-9999.0,False
10,8499,182.34674331505684,89.25576728232227,0.0,22.03,21.76,21.74,-9999.0,False
10,8749,182.34674331505684,89.25576728232227,0.0,22.03,21.76,21.74,-9999.0,False
10,8999,182.6953986560034,89.25576728232227,0.0,22.03,21.75,21.74,-9999.0,False
10,13999,29.635703980458565,104.59660228397141,0.0,22.03,21.76,21.74,-9999.0,False
