run_index,time_ms,x,y,z,tc1,tc2,tc3,tc4,sma_active
4,2019,85.42055853190999,74.96089830351285,0.0,22.14,21.86,21.86,-9999.0,False
4,2770,85.42055853190999,74.96089830351285,0.0,22.14,21.86,21.86,-9999.0,False
4,3270,85.42055853190999,74.96089830351285,0.0,22.14,21.86,21.86,-9999.0,False
4,0,85.42055853190999,74.96089830351285,0.0,22.14,21.86,21.86,-9999.0,True
4,249,85.42055853190999,74.96089830351285,0.0,22.14,21.86,21.86,-9999.0,True
4,1499,85.42055853190999,74.96089830351285,0.0,22.14,21.86,21.86,-9999.0,False
4,1749,85.42055853190999,74.96089830351285,0.0,22.14,21.86,21.86,-9999.0,False
4,5749,85.42055853190999,74.96089830351285,0.0,22.14,21.86,21.86,-9999.0,False
4,6249,85.42055853190999,74.96089830351285,0.0,22.14,21.86,21.86,-9999.0,False
4,6749,85.42055853190999,74.96089830351285,0.0,22.14,21.86,21.86,-9999.0,False
4,6999,85.42055853190999,74.96089830351285,0.0,22.14,21.86,21.86,-9999.0,False
4,7249,85.42055853190999,74.96089830351285,0.0,22.14,21.86,21.86,-9999.0,False
4,7499,85.42055853190999,74.96089830351285,0.0,22.14,21.86,21.86,-9999.0,False
4,7999,85.42055853190999,74.96089830351285,0.0,22.14,21.86,21.86,-9999.0,False
4,8249,85.42055853190999,74.96089830351285,0.0,22.14,21.86,21.86,-9999.0,False
4,11999,85.42055853190999,74.96089830351285,0.0,22.15,21.86,21.86,-9999.0,False
4,12249,85.42055853190999,74.96089830351285,0.0,22.15,21.86,21.86,-9999.0,False
4,13499,85.42055853190999,74.96089830351285,0.0,22.15,21.86,21.86,-9999.0,False
4,14250,85.42055853190999,74.96089830351285,0.0,22.15,21.86,21.86,-9999.0,False
4,14499,85.42055853190999,74.96089830351285,0.0,22.15,21.86,21.86,-9999.0,False
4,14749,85.42055853190999,74.96089830351285,0.0,22.15,21.86,21.86,-9999.0,False
