run_index,time,x,y,z,tc1,tc2,tc3,tc4,sma_active
4,2025-06-17T21:26:44.650440,75,82,0.0,22.19,21.87,21.84,-9999.0,True
4,2025-06-17T21:26:45.650881,19,94,0.0,22.22,21.87,21.84,-9999.0,False
4,2025-06-17T21:26:46.650455,128,479,0.0,22.22,21.87,21.84,-9999.0,False
4,2025-06-17T21:26:47.650463,150,446,0.0,22.22,21.87,21.84,-9999.0,False
4,2025-06-17T21:26:48.650462,159,232,0.0,22.24,21.87,21.84,-9999.0,False
4,2025-06-17T21:26:49.650481,250,169,0.0,22.24,21.87,21.84,-9999.0,False
4,2025-06-17T21:26:50.650471,,,0.0,22.24,21.87,21.84,-9999.0,False
4,2025-06-17T21:26:51.650354,114,449,0.0,22.25,21.87,21.85,-9999.0,False
4,2025-06-17T21:26:52.650368,1,430,0.0,22.25,21.87,21.85,-9999.0,False
4,2025-06-17T21:26:53.650358,,,0.0,22.24,21.88,21.84,-9999.0,False
4,2025-06-17T21:26:54.650352,,,0.0,22.23,21.88,21.85,-9999.0,False
4,2025-06-17T21:26:55.650373,,,0.0,22.23,21.88,21.85,-9999.0,False
4,2025-06-17T21:26:56.650464,,,0.0,22.23,21.88,21.85,-9999.0,False
4,2025-06-17T21:26:57.650467,,,0.0,22.22,21.88,21.85,-9999.0,False
4,2025-06-17T21:26:58.650468,,,0.0,22.22,21.88,21.85,-9999.0,False
4,2025-06-17T21:26:59.650464,,,0.0,22.22,21.88,21.85,-9999.0,False
