run_index,time,x,y,z,tc1,tc2,tc3,tc4,sma_active
1,2025-06-17T22:01:59.461916,244,246,0.0,21.7,21.36,21.34,-9999.0,True
1,2025-06-17T22:02:01.461821,244,247,0.0,21.71,21.36,21.34,-9999.0,False
1,2025-06-17T22:02:02.461800,244,247,0.0,21.71,21.37,21.34,-9999.0,False
1,2025-06-17T22:02:03.461801,244,247,0.0,21.71,21.37,21.34,-9999.0,False
1,2025-06-17T22:02:04.461805,244,247,0.0,21.72,21.37,21.34,-9999.0,False
1,2025-06-17T22:02:05.461914,244,247,0.0,21.74,21.37,21.35,-9999.0,False
1,2025-06-17T22:02:06.461919,242,251,0.0,21.74,21.37,21.35,-9999.0,False
1,2025-06-17T22:02:07.461926,244,246,0.0,21.75,21.37,21.35,-9999.0,False
1,2025-06-17T22:02:08.461918,240,255,0.0,21.77,21.38,21.36,-9999.0,False
1,2025-06-17T22:02:09.461937,244,246,0.0,21.77,21.38,21.36,-9999.0,False
1,2025-06-17T22:02:11.461826,242,251,0.0,21.77,21.39,21.36,-9999.0,False
1,2025-06-17T22:02:12.461820,242,250,0.0,21.77,21.39,21.36,-9999.0,False
1,2025-06-17T22:02:13.461821,242,251,0.0,21.77,21.39,21.37,-9999.0,False
1,2025-06-17T22:02:14.461805,243,248,0.0,21.76,21.39,21.37,-9999.0,False
1,2025-06-17T22:02:15.461821,242,251,0.0,21.76,21.39,21.37,-9999.0,False
