run_index,time,x,y,z,tc1,tc2,tc3,tc4,sma_active
3,2025-06-17T22:02:49.528847,234,254,0.0,21.78,21.37,21.35,-9999.0,False
3,2025-06-17T22:02:50.528730,242,248,0.0,21.78,21.37,21.35,-9999.0,False
3,2025-06-17T22:02:51.528840,242,251,0.0,21.78,21.36,21.34,-9999.0,False
3,2025-06-17T22:02:52.528839,243,247,0.0,21.79,21.36,21.34,-9999.0,False
3,2025-06-17T22:02:53.528861,243,247,0.0,21.79,21.36,21.34,-9999.0,False
3,2025-06-17T22:02:54.528838,243,247,0.0,21.78,21.36,21.33,-9999.0,False
3,2025-06-17T22:02:55.528852,242,247,0.0,21.78,21.36,21.33,-9999.0,False
3,2025-06-17T22:02:57.528736,243,247,0.0,21.78,21.35,21.33,-9999.0,False
3,2025-06-17T22:02:58.528730,243,246,0.0,21.78,21.35,21.32,-9999.0,False
3,2025-06-17T22:02:59.528726,242,251,0.0,21.78,21.35,21.32,-9999.0,False
3,2025-06-17T22:03:01.528745,243,247,0.0,21.76,21.35,21.32,-9999.0,False
3,2025-06-17T22:03:02.528844,243,247,0.0,21.75,21.35,21.33,-9999.0,False
3,2025-06-17T22:03:03.528847,240,255,0.0,21.75,21.35,21.33,-9999.0,False
3,2025-06-17T22:03:04.528836,243,248,0.0,21.74,21.36,21.33,-9999.0,False
3,2025-06-17T22:03:05.528831,243,247,0.0,21.73,21.36,21.33,-9999.0,False
3,2025-06-17T22:03:06.528838,242,251,0.0,21.73,21.36,21.33,-9999.0,False
