run_index,time_ms,x,y,z,tc1,tc2,tc3,tc4,sma_active
6,2032,86.81517989569628,74.96089830351285,0.0,22.01,21.74,21.72,-9999.0,False
6,3032,86.81517989569628,74.96089830351285,0.0,22.01,21.74,21.72,-9999.0,False
6,0,86.81517989569628,74.96089830351285,0.0,22.01,21.74,21.72,-9999.0,True
6,249,86.81517989569628,74.96089830351285,0.0,22.02,21.74,21.73,-9999.0,True
6,499,86.81517989569628,74.96089830351285,0.0,22.02,21.74,21.73,-9999.0,True
6,999,86.81517989569628,74.96089830351285,0.0,22.02,21.74,21.73,-9999.0,True
6,2499,86.81517989569628,74.96089830351285,0.0,22.01,21.74,21.72,-9999.0,False
6,2749,86.81517989569628,74.96089830351285,0.0,22.01,21.74,21.72,-9999.0,False
6,2999,86.81517989569628,74.96089830351285,0.0,22.01,21.74,21.72,-9999.0,False
6,3249,86.81517989569628,74.96089830351285,0.0,22.01,21.74,21.72,-9999.0,False
6,3499,86.81517989569628,74.96089830351285,0.0,22.01,21.74,21.72,-9999.0,False
6,6499,86.81517989569628,74.96089830351285,0.0,22.02,21.74,21.72,-9999.0,False
6,6749,86.81517989569628,74.96089830351285,0.0,22.02,21.74,21.72,-9999.0,False
6,7999,86.81517989569628,74.96089830351285,0.0,22.02,21.74,21.71,-9999.0,False
6,8249,86.81517989569628,74.96089830351285,0.0,22.02,21.74,21.71,-9999.0,False
6,8499,86.81517989569628,74.96089830351285,0.0,22.02,21.74,21.71,-9999.0,False
6,9249,86.81517989569628,74.96089830351285,0.0,22.02,21.74,21.71,-9999.0,False
6,9499,86.81517989569628,74.96089830351285,0.0,22.02,21.74,21.71,-9999.0,False
6,9749,86.81517989569628,74.96089830351285,0.0,22.02,21.74,21.71,-9999.0,False
6,9999,86.81517989569628,74.96089830351285,0.0,22.02,21.74,21.71,-9999.0,False
6,10249,86.81517989569628,74.96089830351285,0.0,22.02,21.74,21.71,-9999.0,False
6,11499,86.81517989569628,74.96089830351285,0.0,22.02,21.74,21.71,-9999.0,False
6,11749,86.81517989569628,74.96089830351285,0.0,22.02,21.74,21.71,-9999.0,False
6,12249,86.81517989569628,74.96089830351285,0.0,22.02,21.74,21.71,-9999.0,False
6,12499,86.81517989569628,74.96089830351285,0.0,22.02,21.74,21.71,-9999.0,False
6,12749,86.81517989569628,74.96089830351285,0.0,22.02,21.74,21.71,-9999.0,False
6,13999,86.81517989569628,74.96089830351285,0.0,22.02,21.74,21.71,-9999.0,False
6,14499,86.81517989569628,74.96089830351285,0.0,22.02,21.74,21.71,-9999.0,False
6,15249,86.81517989569628,74.96089830351285,0.0,22.02,21.74,21.71,-9999.0,False
6,15499,86.81517989569628,74.96089830351285,0.0,22.02,21.74,21.71,-9999.0,False
6,15749,86.81517989569628,74.96089830351285,0.0,22.02,21.74,21.71,-9999.0,False
6,15999,86.81517989569628,74.96089830351285,0.0,22.02,21.74,21.71,-9999.0,False
6,17749,86.81517989569628,74.96089830351285,0.0,22.03,21.74,21.7,-9999.0,False
